date,type,business_id
20190122,Required,a2j0f0000015Ly9AAE
20190122,Required,a2j0f0000015NRmAAM
20190801,Follow-up,a2j0f000001Hlx0AAC
20180418,Required,a2j0f0000015LjqAAE
20180418,Required,a2j0f0000015KnAAAU
20180418,Required,a2j0f0000015LeTAAU
20180418,Required,a2j0f0000015MrrAAE
20170913,Required,a2j0f0000015N2yAAE
20170913,Required,a2j0f0000015LGwAAM
20171024,Required,a2j0f0000015NxCAAU
20171024,Required,a2j0f000000IBrtAAG
20171024,Required,a2j0f0000015NI4AAM
20180423,Required,a2j0f000000jWGrAAM
20171024,Required,a2j0f000000IBreAAG
20171024,Required,a2j0f0000015Mz5AAE
20171024,Required,a2j0f0000015KyHAAU
20171023,Required,a2j0f0000015MePAAU
20180423,Required,a2j0f0000015KnpAAE
20180423,Required,a2j0f0000015LJ4AAM
20190516,Required,a2j0f0000015N1qAAE
20190415,Follow-up,a2j0f0000008LnvAAE
20190412,Required,a2j0f0000015MMmAAM
20190412,Required,a2j0f0000015Lj8AAE
20181120,Required,a2j0f0000015KnNAAU
20190516,Required,a2j0f0000015MBMAA2
20181120,Required,a2j0f0000015NDOAA2
20190911,Required,a2j0f0000015MweAAE
20190911,Required,a2j0f0000015L0rAAE
20180313,Required,a2j0f0000015NXaAAM
20180313,Required,a2j0f0000015MOQAA2
20170901,Required,a2j0f0000015N0EAAU
20170901,Required,a2j0f0000015LiOAAU
20170901,Required,a2j0f0000015MS8AAM
20170901,Required,a2j0f0000015NPOAA2
20181017,Follow-up,a2j0f0000015LhmAAE
20181017,Required,a2j0f000000jVspAAE
20180313,Required,a2j0f0000015L5sAAE
20190605,Required,a2j0f0000015LsxAAE
20181017,Required,a2j0f0000015M5BAAU
20181017,Required,a2j0f0000015KrCAAU
20181017,Required,a2j0f0000015MeTAAU
20180313,Required,a2j0f0000015NghAAE
20181017,Required,a2j0f000001M3bVAAS
20170901,Required,a2j0f0000015Nr5AAE
20180802,Required,a2j0f0000015LTPAA2
20180802,Required,a2j0f0000015Km0AAE
20180802,Required,a2j0f0000015LBXAA2
20180802,Required,a2j0f0000015LNuAAM
20160229,Required,a2j0f0000015LO2AAM
20161019,Required,a2j0f0000015LiRAAU
20181203,Required,a2j0f0000015NgcAAE
20181203,Required,a2j0f000000jWGwAAM
20181203,Required,a2j0f0000015M77AAE
20181203,Required,a2j0f0000015LT3AAM
20181210,Required,a2j0f0000015MSlAAM
20181203,Required,a2j0f0000015LHWAA2
20181203,Required,a2j0f0000015NZRAA2
20181203,Required,a2j0f0000015LzBAAU
20181205,Required,a2j0f0000015MfKAAU
20181205,Follow-up,a2j0f0000015LTMAA2
20181203,Required,a2j0f0000015NuAAAU
20181203,Required,a2j0f0000015LLRAA2
20181204,Follow-up,a2j0f0000015LXrAAM
20181203,Required,a2j0f0000015LXWAA2
20181106,Follow-up,a2j0f0000015LSRAA2
20181031,Required,a2j0f000001MKYPAA4
20181031,Required,a2j0f0000015NEmAAM
20181101,Required,a2j0f0000015M3TAAU
20181031,Required,a2j0f0000015PVhAAM
20160929,Required,a2j0f0000015LPnAAM
20170322,Required,a2j0f0000015LQtAAM
20161117,Required,a2j0f0000015LQtAAM
20160719,Required,a2j0f0000015LQtAAM
20160406,Required,a2j0f0000015LQtAAM
20181031,Required,a2j0f0000015LiVAAU
20181031,Required,a2j0f0000015L4oAAE
20181031,Required,a2j0f0000015MAzAAM
20160927,Required,a2j0f0000015LSeAAM
20160224,Required,a2j0f0000015LSeAAM
20190130,Required,a2j0f0000015Kn0AAE
20180515,Follow-up,a2j0f000000IAyAAAW
20180515,Required,a2j0f0000015MiVAAU
20180105,Required,a2j0f0000015NkgAAE
20180105,Required,a2j0f0000015LuaAAE
20171102,Required,a2j0f0000015L6RAAU
20170710,Required,a2j0f0000015MLVAA2
20170710,Required,a2j0f0000015N7HAAU
20170710,Required,a2j0f0000015LpTAAU
20180307,Required,a2j0f0000015MdnAAE
20180307,Required,a2j0f0000015MGrAAM
20180307,Required,a2j0f0000015NgFAAU
20180307,Required,a2j0f0000015MVqAAM
20180307,Required,a2j0f0000015LCkAAM
20191211,Required,a2j0f0000015Km0AAE
20180423,Required,a2j0f000000IB9SAAW
20180423,Required,a2j0f0000015NoeAAE
20180423,Required,a2j0f0000015NoFAAU
20180423,Required,a2j0f000000jVtTAAU
20170908,Required,a2j0f0000015LgWAAU
20170908,Required,a2j0f0000015Ns8AAE
20170908,Required,a2j0f0000015L5AAAU
20180405,Required,a2j0f0000015NK3AAM
20180405,Required,a2j0f0000015NouAAE
20180405,Required,a2j0f0000015MOlAAM
20170908,Required,a2j0f0000015Ku8AAE
20180405,Required,a2j0f0000015NUuAAM
20171031,Required,a2j0f0000015O15AAE
20170918,Required,a2j0f0000015MbkAAE
20170918,Required,a2j0f0000015N7KAAU
20171031,Required,a2j0f0000015KsLAAU
20171031,Required,a2j0f0000015KnpAAE
20181212,Required,a2j0f0000015MCMAA2
20180905,Required,a2j0f0000015LAKAA2
20180905,Required,a2j0f0000015Ko0AAE
20180905,Required,a2j0f0000015MTUAA2
20190522,Required,a2j0f0000015MRZAA2
20170814,Follow-up,a2j0f0000015LBDAA2
20180920,Required,a2j0f0000015Ld5AAE
20170814,Required,a2j0f0000015LRZAA2
20171006,Required,a2j0f0000015LonAAE
20170814,Required,a2j0f0000015LL0AAM
20170815,Required,a2j0f0000015MfPAAU
20170811,Required,a2j0f0000015Mj5AAE
20171116,Follow-up,a2j0f0000015LgaAAE
20171110,Required,a2j0f0000015NqZAAU
20171114,Follow-up,a2j0f000000ICiYAAW
20171110,Required,a2j0f0000015M3KAAU
20171110,Required,a2j0f0000015Me2AAE
20171110,Required,a2j0f0000015LpRAAU
20171110,Required,a2j0f0000015MaOAAU
20171110,Required,a2j0f0000015MHRAA2
20190121,Required,a2j0f0000015KtRAAU
20190121,Required,a2j0f0000015LYhAAM
20190208,Required,a2j0f0000015NmvAAE
20190121,Required,a2j0f0000015MxUAAU
20181213,Required,a2j0f0000008M73AAE
20181119,Required,a2j0f0000015MaQAAU
20181213,Required,a2j0f0000015NelAAE
20190122,Required,a2j0f0000015N9hAAE
20190122,Required,a2j0f000000jiTtAAI
20190123,Required,a2j0f0000015LdTAAU
20190122,Required,a2j0f0000015NHrAAM
20190122,Required,a2j0f0000015Lg8AAE
20190125,Follow-up,a2j0f0000010zNeAAI
20190205,Required,a2j0f000001LxZfAAK
20190122,Follow-up,a2j0f0000015O3wAAE
20181122,Required,a2j0f0000015Nx8AAE
20181122,Required,a2j0f0000015L6zAAE
20181122,Required,a2j0f0000015OXDAA2
20181217,Required,a2j0f0000015LukAAE
20181122,Required,a2j0f0000015MbjAAE
20181122,Required,a2j0f0000015N0DAAU
20181123,Required,a2j0f0000015NxnAAE
20181122,Required,a2j0f0000015LgAAAU
